comercio,sucursal,localidad,direccion,latitud,longitud,zona,horario_referencia
Vea,Capital Centro,Capital,Av. Libertador Gral. San Martin 560 Oeste,-31.5368,-68.5369,Centro,Lun a sab 08:30-21:30
Vea,Rawson,Rawson,Av. Espana Sur 1550,-31.5778,-68.5309,Sur,Lun a sab 08:30-21:30
Vea,Rivadavia,Rivadavia,Av. Ignacio de la Roza Oeste 2850,-31.5317,-68.5886,Oeste,Lun a sab 08:30-21:30
Carrefour,San Juan Centro,Capital,Gral. Acha 452 Sur,-31.5406,-68.5255,Centro,Lun a dom 09:00-22:00
Carrefour,Rawson,Rawson,Boulevard Sarmiento 889,-31.5826,-68.5182,Sur,Lun a dom 09:00-22:00
ChangoMas,Hiper San Juan,Capital,Av. Jose Ignacio de la Roza Oeste 806,-31.5328,-68.5489,Centro Oeste,Lun a dom 08:30-22:00
Atomo Conviene,Rawson,Rawson,Av. Mendoza Sur 2020,-31.5867,-68.5234,Sur,Lun a sab 08:30-21:00
Atomo Conviene,Santa Lucia,Santa Lucia,Av. Libertador Gral. San Martin Este 1450,-31.5332,-68.4978,Este,Lun a sab 08:30-21:00
Atomo Conviene,Rivadavia,Rivadavia,Av. Libertador Gral. San Martin Oeste 4100,-31.5279,-68.6051,Oeste,Lun a sab 08:30-21:00
Autoservicio Norte,Santa Lucia,Santa Lucia,Calle Colon Norte 620,-31.5266,-68.5019,Este,Lun a sab 09:00-21:00
Autoservicio Rawson,Rawson Sur,Rawson,Republica del Libano 1800,-31.5929,-68.5297,Sur,Lun a sab 09:00-21:00
Autoservicio Santa Lucia,Casa Central,Santa Lucia,Av. Hipolito Yrigoyen Este 980,-31.5385,-68.5034,Este,Lun a sab 09:00-21:00
